bin,p_left,p_right,weight
0,0.01,0.01055449600878603,0
1,0.01055449600878603,0.01113973859994803,0
2,0.01113973859994803,0.01175743265920712,0
3,0.01175743265920712,0.0124093776075172,0
4,0.0124093776075172,0.0130974726430059,0
5,0.0130974726430059,0.013823722273579,0
6,0.013823722273579,0.01459024215630562,0
7,0.01459024215630562,0.01539926526059493,0
8,0.01539926526059493,0.01625314837311865,0
9,0.01625314837311865,0.0171543789634288,0
10,0.0171543789634288,0.01810558243027123,0
11,0.01810558243027123,0.01910952974970441,0
12,0.01910952974970441,0.02016914554730331,0
13,0.02016914554730331,0.02128751661796374,0
14,0.02128751661796374,0.02246790091812646,0
15,0.02246790091812646,0.02371373705661656,0
16,0.02371373705661656,0.02502865431174608,0
17,0.02502865431174608,0.02641648320386094,0
18,0.02641648320386094,0.02788126665413135,0
19,0.02788126665413135,0.02942727176209283,0
20,0.02942727176209283,0.03105900223624706,0
21,0.03105900223624706,0.0327812115139346,0
22,0.0327812115139346,0.03459891660869935,0
23,0.03459891660869935,0.03651741272548378,0
24,0.03651741272548378,0.03854228868623107,0
25,0.03854228868623107,0.04067944321083049,0
26,0.04067944321083049,0.04293510210083484,0
27,0.04293510210083484,0.0453158363760082,0
28,0.0453158363760082,0.04782858141653792,0
29,0.04782858141653792,0.05048065716667473,0
30,0.05048065716667473,0.05327978945865644,0
31,0.05327978945865644,0.05623413251903493,0
32,0.05623413251903493,0.05935229272296987,0
33,0.05935229272296987,0.06264335366568859,0
34,0.06264335366568859,0.0661169026241482,0
35,0.0661169026241482,0.06978305848598666,0
36,0.06978305848598666,0.07365250122712282,0
37,0.07365250122712282,0.07773650302387761,0
38,0.07773650302387761,0.08204696109024996,0
39,0.08204696109024996,0.08659643233600657,0
40,0.08659643233600657,0.09139816994654906,0
41,0.09139816994654906,0.09646616199111996,52
42,0.09646616199111996,0.1018151721718182,261875
43,0.1018151721718182,0.1074607828321318,217
44,0.1074607828321318,0.1134194403502757,0
45,0.1134194403502757,0.119708503049573,0
46,0.119708503049573,0.1263462917654469,0
47,0.1263462917654469,0.1333521432163325,0
48,0.1333521432163325,0.1407464663339844,0
49,0.1407464663339844,0.1485508017172776,0
50,0.1485508017172776,0.1567878843826971,0
51,0.1567878843826971,0.1654817099943182,0
52,0.1654817099943182,0.1746576047662119,0
53,0.1746576047662119,0.1843422992409111,0
54,0.1843422992409111,0.1945640061588636,0
55,0.1945640061588636,0.2053525026457147,0
56,0.2053525026457147,0.2167392169568418,0
57,0.2167392169568418,0.2287573200318397,0
58,0.2287573200318397,0.241441822125664,0
59,0.241441822125664,0.2548296747979347,0
60,0.2548296747979347,0.2689598785575044,0
61,0.2689598785575044,0.2838735964758756,0
62,0.2838735964758756,0.2996142741004365,0
63,0.2996142741004365,0.3162277660168381,0
64,0.3162277660168381,0.333762469429204,0
65,0.333762469429204,0.3522694651473103,0
66,0.3522694651473103,0.3718026663914475,0
67,0.3718026663914475,0.3924189758484537,0
68,0.3924189758484537,0.4141784514364406,0
69,0.4141784514364406,0.4371444812611091,0
70,0.4371444812611091,0.4613839682733216,0
71,0.4613839682733216,0.4869675251658633,0
72,0.4869675251658633,0.5139696800771515,0
73,0.5139696800771515,0.5424690937011327,0
74,0.5424690937011327,0.5725487884358381,0
75,0.5725487884358381,0.604296390238133,0
76,0.604296390238133,0.637804383889218,0
77,0.637804383889218,0.6731703824144984,0
78,0.6731703824144984,0.710497411442679,0
79,0.710497411442679,0.7498942093324561,0
80,0.7498942093324561,0.7914755439411163,0
81,0.7914755439411163,0.8353625469578264,0
82,0.8353625469578264,0.8816830667755712,0
83,0.8816830667755712,0.9305720409296993,0
84,0.9305720409296993,0.9821718891880381,0
85,0.9821718891880381,1.036632928437698,0
86,1.036632928437698,1.094113810577186,0
87,1.094113810577186,1.154781984689458,0
88,1.154781984689458,1.21881418484229,0
89,1.21881418484229,1.286396944936975,0
90,1.286396944936975,1.357727142105184,0
91,1.357727142105184,1.433012570236963,0
92,1.433012570236963,1.512472545310624,0
93,1.512472545310624,1.596338544287943,0
94,1.596338544287943,1.684854879435839,0
95,1.684854879435839,1.778279410038923,0
96,1.778279410038923,1.876884293576219,0
97,1.876884293576219,1.980956778550339,0
98,1.980956778550339,2.090800041278719,0
99,2.090800041278719,2.20673406908459,0
100,2.20673406908459,2.329096592460547,0
101,2.329096592460547,2.458244068920198,0
102,2.458244068920198,2.594552721404016,0
103,2.594552721404016,2.738419634264362,0
104,2.738419634264362,2.890263910022451,0
105,2.890263910022451,3.050527890267027,0
106,3.050527890267027,3.21967844425138,0
107,3.21967844425138,3.39820832894256,0
108,3.39820832894256,3.58663762448477,0
109,3.58663762448477,3.785515249258631,0
110,3.785515249258631,3.995420558949887,0
111,3.995420558949887,4.216965034285823,0
112,4.216965034285823,4.450794062355997,0
113,4.450794062355997,4.697588816706493,0
114,4.697588816706493,4.958068241684657,0
115,4.958068241684657,5.232991146814948,0
116,5.232991146814948,5.5231584173071,0
117,5.5231584173071,5.829415347136075,0
118,5.829415347136075,6.152654101490374,0
119,6.152654101490374,6.493816315762115,0
120,6.493816315762115,6.853895838650084,0
121,6.853895838650084,7.233941627366749,0
122,7.233941627366749,7.635060803383349,0
123,7.635060803383349,8.058421877614819,0
124,8.058421877614819,8.505258154439963,0
125,8.505258154439963,8.976871324473144,0
126,8.976871324473144,9.474635256553759,0
127,9.474635256553759,10,0
